339.85	79.990
340.23	79.990
340.61	103.065
341.00	397.525
341.38	-3.401
341.76	-15.713
342.15	-8.466
342.53	23.980
342.91	10.345
343.29	244.465
343.68	53.563
344.06	124.269
344.44	116.585
344.82	103.092
345.21	41.577
345.59	26.424
345.97	33.960
346.35	153.366
346.74	81.230
347.12	56.641
347.50	26.211
347.88	-261333.333
348.27	45.645
348.65	46.734
349.03	46.160
349.41	41.020
349.79	47.472
350.18	45.644
350.56	48.691
350.94	40.833
351.32	51.443
351.70	52.950
352.08	52.610
352.47	45.189
352.85	49.123
353.23	49.346
353.61	50.147
353.99	39.087
354.37	46.872
354.76	43.805
355.14	47.908
355.52	37.828
355.90	47.246
356.28	46.538
356.66	49.533
357.04	37.676
357.42	36.443
357.81	39.803
358.19	37.717
358.57	36.446
358.95	36.526
359.33	40.654
359.71	46.062
360.09	47.590
360.47	50.051
360.85	49.204
361.23	54.034
361.61	53.284
361.99	58.770
362.38	54.581
362.76	49.059
363.14	36.217
363.52	37.920
363.90	44.663
364.28	46.805
364.66	41.093
365.04	36.094
365.42	33.344
365.80	35.450
366.18	37.155
366.56	37.707
366.94	36.499
367.32	32.574
367.70	30.073
368.08	29.299
368.46	36.973
368.84	41.905
369.22	40.911
369.60	24.568
369.98	21.754
370.36	14.917
370.74	27.314
371.12	26.135
371.50	31.686
371.87	27.077
372.25	26.988
372.63	26.018
373.01	28.637
373.39	31.242
373.77	32.252
374.15	32.396
374.53	32.804
374.91	35.080
375.29	34.630
375.67	27.657
376.05	26.135
376.42	25.034
376.80	30.002
377.18	31.212
377.56	27.546
377.94	27.525
378.32	20.568
378.70	23.223
379.08	23.909
379.45	23.789
379.83	20.470
380.21	10.716
380.59	12.807
380.97	17.683
381.35	24.126
381.73	26.391
382.10	24.497
382.48	20.202
382.86	21.306
383.24	23.778
383.62	24.181
383.99	20.898
384.37	19.391
384.75	18.760
385.13	18.966
385.51	17.166
385.88	16.657
386.26	16.189
386.64	14.732
387.02	13.843
387.39	12.636
387.77	13.166
388.15	14.291
388.53	14.473
388.91	12.445
389.28	12.699
389.66	9.715
390.04	12.123
390.41	9.261
390.79	11.351
391.17	11.261
391.55	11.263
391.92	9.893
392.30	8.820
392.68	9.477
393.05	9.234
393.43	7.958
393.81	8.069
394.19	8.977
394.56	9.776
394.94	8.350
395.32	7.524
395.69	7.080
396.07	8.112
396.45	8.353
396.82	8.616
397.20	6.923
397.58	7.260
397.95	6.236
398.33	6.993
398.70	6.804
399.08	6.763
399.46	7.706
399.83	7.323
400.21	6.630
400.59	6.965
400.96	7.479
401.34	8.798
